"Longitude";"Latitude";"Parameter.Name";"Arithmetic.Mean";"City.Name"
-112,34184;33,63713;"Ozone";0,051698;"Surprise"
-112,6207;33,37005;"Ozone";0,04465;"Buckeye"
-111,676928;33,629246;"Ozone";0,046865;"Fort McDowell"
-111,855654;33,488242;"Ozone";0,047745;"Scottsdale"
-111,855654;33,488242;"PM2.5 - Local Conditions";5,270492;"Scottsdale"
-111,855654;33,488242;"PM2.5 - Local Conditions";5,190385;"Scottsdale"
-111,755334;33,507992;"Ozone";0,049148;"Scottsdale"
-111,805769;33,474609;"Ozone";0,055033;"Mesa"
-111,83852;33,508125;"Ozone";0,052005;"Scottsdale"
-111,60925;33,54549;"Ozone";0,050766;"Blue Point (District)"
-111,72529;33,61103;"Ozone";0,051209;"Fountain Hills"
-111,67183;33,71881;"Ozone";0,053294;"Rio Verde"
-112,11814;33,4265;"PM2.5 - Local Conditions";10,579387;"Phoenix"
-112,095767;33,503833;"Ozone";0,051124;"Phoenix"
-112,095767;33,503833;"PM2.5 - Local Conditions";8,868852;"Phoenix"
-112,095767;33,503833;"PM2.5 - Local Conditions";6,480816;"Phoenix"
-113,410782;35,540017;"PM2.5 - Local Conditions";3,96087;"Peach Springs"
-111,038389;32,322661;"PM2.5 - Local Conditions";5,268132;"Tucson"
-110,878067;32,204411;"Ozone";0,045487;"Tucson"
-111,06352;32,425261;"Ozone";0,047949;"Marana"
-110,774357;32,04767;"Ozone";0,048779;"Tucson"
-110,9823;32,29515;"Ozone";0,04678;"Tucson"
-110,9823;32,29515;"PM2.5 - Local Conditions";5,19;"Tucson"
-110,9823;32,29515;"PM2.5 - Local Conditions";6,87048;"Tucson"
-110,99644;31,87952;"Ozone";0,04928;"Green Valley"
-110,980115;32,173;"Ozone";0,047041;"Tucson"
-111,12716;32,38082;"Ozone";0,046956;"Marana"
-111,752222;32,877583;"PM2.5 - Local Conditions";8,278689;"Casa Grande"
-111,752222;32,877583;"PM2.5 - Local Conditions";8,16;"Casa Grande"
-111,5436;33,4214;"Ozone";0,04366;"Apache Junction"
-111,503222;33,421194;"PM2.5 - Local Conditions";5,592105;"Apache Junction"
-111,76225;32,954361;"Ozone";0,045579;"Casa Grande"
-111,308056;32,508306;"Ozone";0,04963;"Red Rock"
-111,97205;33,01053;"PM2.5 - Local Conditions";16,010169;"Maricopa"
-111,97205;33,01053;"PM2.5 - Local Conditions";14,230508;"Maricopa"
-111,739999;33,080087;"Ozone";0,050728;"Sacaton"
-111,285594;33,293465;"Ozone";0,057794;"Queen Valley"
-110,936718;31,337204;"PM2.5 - Local Conditions";9,992857;"Nogales"
-110,936718;31,337204;"PM2.5 - Local Conditions";9,253571;"Nogales"
-110,936718;31,337204;"PM2.5 - Local Conditions";6,972028;"Nogales"
-110,936718;31,337204;"PM2.5 - Local Conditions";6,972028;"Nogales"
-110,936718;31,337204;"PM2.5 - Local Conditions";6,841259;"Nogales"
-112,331;34,595;"PM2.5 - Local Conditions";4,151852;"Prescott Valley"
-112,4761;34,5467;"Ozone";0,049754;"Prescott"
-114,61444;32,690278;"Ozone";0,05167;"Yuma"
-114,61444;32,690278;"PM2.5 - Local Conditions";8,836667;"Yuma"
-114,61444;32,690278;"PM2.5 - Local Conditions";5,686111;"Yuma"
-114,61444;32,690278;"PM2.5 - Local Conditions";5,686111;"Yuma"
-114,61444;32,690278;"PM2.5 - Local Conditions";5,484722;"Yuma"
-91,55896;34,518515;"PM2.5 - Local Conditions";9,446552;"Stuttgart"
-91,950377;33,136862;"PM2.5 - Local Conditions";9,118103;"Crossett"
-90,193141;35,197288;"Ozone";0,041773;"Marion"
-90,193141;35,197288;"PM2.5 - Local Conditions";9,991597;"Marion"
-93,000178;34,469441;"PM2.5 - Local Conditions";9,491597;"Hot Springs (Hot Springs National Park)"
-93,000178;34,469441;"PM2.5 - Local Conditions";9,205263;"Hot Springs (Hot Springs National Park)"
-91,189506;35,638169;"PM2.5 - Local Conditions";9,035088;"Newport"
-94,226234;34,583699;"PM2.5 - Local Conditions";10,002632;"Mena"
-94,143316;34,454406;"Ozone";0,044967;"Mena"
-92,281296;34,756189;"Ozone";0,040697;"North Little Rock"
-92,281296;34,756189;"PM2.5 - Local Conditions";10,388319;"North Little Rock"
-92,281296;34,756189;"PM2.5 - Local Conditions";10,219298;"North Little Rock"
-92,260581;34,835721;"Ozone";0,042749;"North Little Rock"
-92,243587;34,729603;"PM2.5 - Local Conditions";10,552101;"Little Rock"
